Designator,Mid X,Mid Y,Layer,Rotation
C1,40.4,14.8,T,270.0
C2,35.0,17.0,T,0.0
C3,35.0,18.2,T,0.0
C4,17.5,15.5,T,90.0
C5,25.0,13.5,T,90.0
C6,54.0,44.5,T,90.0
C7,31.8,11.4,T,270.0
D1,5.9,27.5,T,180.0
D2,6.0625,30.0,T,0.0
D3,51.2,42.2625,T,90.0
D4,49.2,42.2625,T,90.0
D5,47.4,42.4125,T,90.0
D6,45.6,42.2625,T,90.0
J1,55.4,18.5,T,180.0
J2,55.4,32.5,T,0.0
P1,27.94,2.54,T,0.0
P2,50.8,2.54,T,0.0
P3,18.796,50.8,T,0.0
P4,45.72,50.8,T,0.0
P5,13.97,2.54,T,0.0
P6,66.04,7.62,T,0.0
P7,15.24,50.8,T,0.0
P8,66.04,35.56,T,0.0
R1,37.075,15.225,T,0.0
R10,55.5,44.5,T,270.0
R11,45.8,14.6,T,180.0
R12,29.6,11.4,T,180.0
R13,24.2,29.6,T,180.0
R2,25.675,19.5,T,0.0
R3,34.725,13.575,T,90.0
R4,21.5,18.5,T,90.0
R5,24.0,16.675,T,270.0
R6,20.825,14.0,T,180.0
R7,21.5,16.0,T,0.0
R8,23.5,13.5,T,90.0
R9,26.9125,44.0,T,0.0
RN1,48.3,45.9,T,180.0
RV1,36.887,21.875,T,0.0
RV2,21.35,41.7,T,90.0
SW1,35.6,42.0,T,0.0
U1,30.0,15.5,T,90.0
